Zupanija,Broj
Grad Zagreb,199
Splitsko-dalmatinska županija ,74
Istarska županija ,58
Zadarska županija ,56
Zagrebačka županija ,53
Varaždinska županija ,47
Vukovarsko-srijemska  županija ,47
Primorsko-goranska županija ,47
Međimurska županija ,45
Osječko-baranjska županija ,36
Krapinsko-zagorska županija ,35
Bjelovarsko-bilogorska županija ,28
Koprivničko-križevačka županija ,25
Dubrovačko-neretvanska županija ,22
Karlovačka županija ,21
Sisačko-moslavačka županija ,20
Virovitičko-podravska županija ,18
Šibensko-kninska županija ,15
Brodsko-posavska županija ,14
Požeško-slavonska županija ,14
Ličko-senjska županija ,11
